timestamp,slug,html_path,status,elapsed_ms,old_src,new_src,old_alt,new_alt,jsonld_shape,jsonld_old,jsonld_new,css_updated,css_old,css_new,notes
2026-07-29T23:06:53.111993,best-asphalt-driveway-sealer-top-products-for-2026,guides/best-asphalt-driveway-sealer-top-products-for-2026/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-freshly-sealed-asphalt-sheen.webp,Best Asphalt Driveway Sealer: Top Products for 2026 — Drivewayz USA,Freshly sealed asphalt driveway surface with a dark sheen under overcast light,string,https://drivewayzusa.co/images/hero-best-asphalt-driveway-sealer-top-products-for-2026.webp,https://drivewayzusa.co/images/heroes/hero-freshly-sealed-asphalt-sheen.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-freshly-sealed-asphalt-sheen.webp,
2026-07-29T23:06:53.112443,heated-driveway-systems-cost-vs-benefit-analysis,guides/heated-driveway-systems-cost-vs-benefit-analysis/index.html,swapped,0,/images/pexels-sobeslavjan-13838908.webp,/images/heroes/hero-concrete-strip-melting-snow.webp,Heated Driveway Systems: Cost vs Benefit Analysis — Drivewayz USA,Snow-free strip of concrete driveway beside a melting snow edge,string,https://drivewayzusa.co/images/hero-heated-driveway-systems-cost-vs-benefit-analysis.webp,https://drivewayzusa.co/images/heroes/hero-concrete-strip-melting-snow.webp,true,/images/pexels-sobeslavjan-13838908.webp,/images/heroes/hero-concrete-strip-melting-snow.webp,
2026-07-29T23:06:53.112791,asphalt-rejuvenator-products-review,guides/asphalt-rejuvenator-products-review/index.html,swapped,0,/images/pexels-introspectivedsgn-9890648.webp,/images/heroes/hero-faded-gray-asphalt-closeup.webp,Asphalt Rejuvenator Products Review — Drivewayz USA,Faded gray asphalt surface with worn aggregate under flat overcast light,string,https://drivewayzusa.co/images/hero-asphalt-rejuvenator-products-review.webp,https://drivewayzusa.co/images/heroes/hero-faded-gray-asphalt-closeup.webp,true,/images/pexels-introspectivedsgn-9890648.webp,/images/heroes/hero-faded-gray-asphalt-closeup.webp,
2026-07-29T23:06:53.113783,driveway-permits-and-regulations-in-tennessee,guides/driveway-permits-and-regulations-in-tennessee/index.html,swapped,0,/images/pexels-curtis-adams-1694007-3990589.webp,/images/heroes/hero-new-concrete-garage-drive.webp,Driveway Permits and Regulations in Tennessee — Drivewayz USA,New concrete driveway leading to a garage in bright midday sun,string,https://drivewayzusa.co/images/hero-driveway-permits-and-regulations-in-tennessee.webp,https://drivewayzusa.co/images/heroes/hero-new-concrete-garage-drive.webp,true,/images/pexels-curtis-adams-1694007-3990589.webp,/images/heroes/hero-new-concrete-garage-drive.webp,
2026-07-29T23:06:53.114172,tar-and-chip-driveway-vs-asphalt-comparison,guides/tar-and-chip-driveway-vs-asphalt-comparison/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-chip-seal-rural-approach.webp,Tar and Chip Driveway vs Asphalt Comparison — Drivewayz USA,New chip-seal driveway with exposed aggregate in warm evening light,string,https://drivewayzusa.co/images/hero-tar-and-chip-driveway-vs-asphalt-comparison.webp,https://drivewayzusa.co/images/heroes/hero-chip-seal-rural-approach.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-chip-seal-rural-approach.webp,
2026-07-29T23:06:53.114512,best-driveway-material-for-alabama-homes,guides/best-driveway-material-for-alabama-homes/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-herringbone-paver-frontage.webp,Best Driveway Material for Alabama Homes — Drivewayz USA,Herringbone paver driveway in front of a brick home under midday sun,string,https://drivewayzusa.co/images/hero-best-driveway-material-for-alabama-homes.webp,https://drivewayzusa.co/images/heroes/hero-herringbone-paver-frontage.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-herringbone-paver-frontage.webp,
2026-07-29T23:06:53.123310,best-driveway-material-for-texas-homes,guides/best-driveway-material-for-texas-homes/index.html,swapped,8,/images/pexels-pixabay-221540.webp,/images/heroes/hero-tire-worn-gravel-tracks.webp,Best Driveway Material for Texas Homes — Drivewayz USA,Gravel driveway with tire-worn tracks curving past open fields,string,https://drivewayzusa.co/images/hero-best-driveway-material-for-texas-homes.webp,https://drivewayzusa.co/images/heroes/hero-tire-worn-gravel-tracks.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-tire-worn-gravel-tracks.webp,
2026-07-29T23:06:53.127974,percolation-test-for-driveway-drainage-planning,guides/percolation-test-for-driveway-drainage-planning/index.html,swapped,4,/images/pexels-pixabay-221540.webp,/images/heroes/hero-soil-percolation-test-hole.webp,Percolation Test for Driveway Drainage Planning — Drivewayz USA,Water-filled soil test hole beside a gravel driveway edge,string,https://drivewayzusa.co/images/pexels-pixabay-221540.webp,https://drivewayzusa.co/images/heroes/hero-soil-percolation-test-hole.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-soil-percolation-test-hole.webp,
2026-07-29T23:06:53.129270,best-driveway-material-for-wisconsin-homes,guides/best-driveway-material-for-wisconsin-homes/index.html,swapped,1,/images/pexels-pixabay-221540.webp,/images/heroes/hero-sealed-concrete-after-rain.webp,Best Driveway Material for Wisconsin Homes — Drivewayz USA,Sealed concrete driveway glistening with rain outside a garage,string,https://drivewayzusa.co/images/hero-best-driveway-material-for-wisconsin-homes.webp,https://drivewayzusa.co/images/heroes/hero-sealed-concrete-after-rain.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-sealed-concrete-after-rain.webp,
2026-07-29T23:06:53.129694,best-driveway-material-for-missouri-homes,guides/best-driveway-material-for-missouri-homes/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-new-asphalt-golden-hour.webp,Best Driveway Material for Missouri Homes — Drivewayz USA,Smooth new asphalt driveway glowing in warm evening light,string,https://drivewayzusa.co/images/hero-best-driveway-material-for-missouri-homes.webp,https://drivewayzusa.co/images/heroes/hero-new-asphalt-golden-hour.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-new-asphalt-golden-hour.webp,
