url,page_title,h1,hero_filename,hero_alt,reuse_count,pile,gsc_clicks,gsc_impressions,gsc_position,http_status_code,is_guide
https://drivewayzusa.co/guides/5-signs-your-driveway-needs-replacement/,5 Signs Your Driveway Needs Replacement: A Practical Guide for Homeowners,5 Signs Your Driveway Needs Replacement: A Practical Guide for Homeowners,logov3-640.png,Drivewayz USA,1,D_LEAVE,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/accessible-driveway-design-ada-considerations/,Accessible Driveway Design: ADA Considerations,Accessible Driveway Design: ADA Considerations,pexels-pixabay-221540.webp,Accessible Driveway Design: ADA Considerations — Drivewayz USA,253,A_REPLACE_PRIORITY,0.0,1.0,58.0,200,True
https://drivewayzusa.co/guides/acid-staining-a-concrete-driveway-unique-effects/,Acid Staining a Concrete Driveway: Unique Effects,Acid Staining a Concrete Driveway: Unique Effects,pexels-pixabay-221540.webp,Acid Staining a Concrete Driveway: Unique Effects — Drivewayz USA,253,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/airbnb-driveway-requirements-parking-for-short-term-rentals/,Airbnb Driveway Requirements,Airbnb Driveway Requirements: Parking for Short-Term Rentals,pexels-pixabay-221540.webp,Airbnb Driveway Requirements: Parking for Short-Term Rentals — Drivewayz USA,253,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/annual-driveway-maintenance-costs-by-material-type/,Annual Driveway Maintenance Costs by Material Type,Annual Driveway Maintenance Costs by Material Type,pexels-artbovich-8134848.webp,Annual Driveway Maintenance Costs by Material Type — Drivewayz USA,58,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/ant-hill-prevention-in-paver-driveways/,Ant Hill Prevention in Paver Driveways,Ant Hill Prevention in Paver Driveways,pexels-pixabay-221540.webp,Ant Hill Prevention in Paver Driveways — Drivewayz USA,253,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/anti-ice-coatings-for-driveways/,Anti-Ice Coatings for Driveways,Anti-Ice Coatings for Driveways,pexels-pixabay-221540.webp,Anti-Ice Coatings for Driveways — Drivewayz USA,253,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/apartment-complex-driveway-design/,Apartment Complex Driveway Design,Apartment Complex Driveway Design,pexels-pixabay-221540.webp,Apartment Complex Driveway Design — Drivewayz USA,253,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/asphalt-compaction-tools-and-techniques/,Asphalt Compaction: Tools and Techniques,Asphalt Compaction: Tools and Techniques,pexels-introspectivedsgn-9890648.webp,Asphalt Compaction: Tools and Techniques — Drivewayz USA,62,B_REPLACE_BULK,0.0,0.0,0.0,200,True
https://drivewayzusa.co/guides/asphalt-driveway-alligator-cracking-what-it-means-and-how-to-fix-it/,Asphalt Driveway Alligator Cracking,Asphalt Driveway Alligator Cracking: What It Means and How to Fix It,pexels-introspectivedsgn-9890648.webp,Asphalt Driveway Alligator Cracking: What It Means and How to Fix It — Drivewayz USA,62,B_REPLACE_BULK,0.0,0.0,0.0,200,True
