timestamp,slug,html_path,reason,detail
2026-07-29T23:06:53.148297,driveway-base-subgrade,guides/driveway-base-subgrade/index.html,hero_img_not_found,
2026-07-29T23:06:53.157943,driveway-sealing,guides/driveway-sealing/index.html,hero_img_not_found,
2026-07-29T23:06:53.231192,cobblestone-driveway,guides/cobblestone-driveway/index.html,hero_img_not_found,
2026-07-29T23:06:53.271437,concrete-repair,guides/concrete-repair/index.html,hero_img_not_found,
2026-07-29T23:06:53.272253,concrete-vs-asphalt-vs-gravel,guides/concrete-vs-asphalt-vs-gravel/index.html,hero_img_not_found,
2026-07-29T23:06:53.275986,curing-concrete-driveway,guides/curing-concrete-driveway/index.html,hero_img_not_found,
2026-07-29T23:06:53.356066,driveway-excavation-grading,guides/driveway-excavation-grading/index.html,hero_img_not_found,
2026-07-29T23:06:53.429085,driveway-reinforcement,guides/driveway-reinforcement/index.html,hero_img_not_found,
2026-07-29T23:06:53.438351,driveway-slope-drainage,guides/driveway-slope-drainage/index.html,hero_img_not_found,
2026-07-29T23:06:53.450887,driveway-thickness-guide,guides/driveway-thickness-guide/index.html,hero_img_not_found,
2026-07-29T23:06:53.464404,driveway-weight-limits,guides/driveway-weight-limits/index.html,hero_img_not_found,
2026-07-29T23:06:53.469705,expansion-control-joints,guides/expansion-control-joints/index.html,hero_img_not_found,
2026-07-29T23:06:53.484408,how-long-driveway-last,guides/how-long-driveway-last/index.html,hero_img_not_found,
2026-07-29T23:06:53.505491,oyster-shell-driveway,guides/oyster-shell-driveway/index.html,hero_img_not_found,
2026-07-29T23:06:53.510554,permeable-vs-traditional,guides/permeable-vs-traditional/index.html,hero_img_not_found,
2026-07-29T23:06:53.518080,recycled-glass-driveway,guides/recycled-glass-driveway/index.html,hero_img_not_found,
2026-07-29T23:06:53.518878,resurfacing-vs-replacement,guides/resurfacing-vs-replacement/index.html,hero_img_not_found,
2026-07-29T23:06:53.529378,standard-driveway-dimensions,guides/standard-driveway-dimensions/index.html,hero_img_not_found,
2026-07-29T23:06:53.537683,when-can-you-drive,guides/when-can-you-drive/index.html,hero_img_not_found,
