url,slug,pile,html_file,working_filename,render_prompt,negative_prompt,subject,material,setting,condition,lighting,angle,intended_alt_CONSTRAINT_NOT_FINAL,render_status
https://drivewayzusa.co/guides/best-asphalt-driveway-sealer-top-products-for-2026/,best-asphalt-driveway-sealer-top-products-for-2026,A_REPLACE_PRIORITY,guides/best-asphalt-driveway-sealer-top-products-for-2026/index.html,hero-freshly-sealed-asphalt-sheen.webp,"freshly sealed asphalt driveway surface with a dark wet sheen, asphalt, work-in-progress, sealed, overcast, low angle along surface","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",freshly sealed asphalt driveway surface with a dark wet sheen,asphalt,work-in-progress,sealed,overcast,low angle along surface,Freshly sealed asphalt driveway surface with a dark sheen under overcast light,pending
https://drivewayzusa.co/guides/heated-driveway-systems-cost-vs-benefit-analysis/,heated-driveway-systems-cost-vs-benefit-analysis,A_REPLACE_PRIORITY,guides/heated-driveway-systems-cost-vs-benefit-analysis/index.html,hero-concrete-strip-melting-snow.webp,"snow-free strip of concrete driveway beside melting snow, concrete, close-up surface detail, new, overcast, elevated three-quarter","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",snow-free strip of concrete driveway beside melting snow,concrete,close-up surface detail,new,overcast,elevated three-quarter,Snow-free strip of concrete driveway beside a melting snow edge,pending
https://drivewayzusa.co/guides/asphalt-rejuvenator-products-review/,asphalt-rejuvenator-products-review,A_REPLACE_PRIORITY,guides/asphalt-rejuvenator-products-review/index.html,hero-faded-gray-asphalt-closeup.webp,"faded gray weathered asphalt surface with worn aggregate, asphalt, close-up surface detail, weathered, overcast, low angle along surface","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",faded gray weathered asphalt surface with worn aggregate,asphalt,close-up surface detail,weathered,overcast,low angle along surface,Faded gray asphalt surface with worn aggregate under flat overcast light,pending
https://drivewayzusa.co/guides/driveway-permits-and-regulations-in-tennessee/,driveway-permits-and-regulations-in-tennessee,A_REPLACE_PRIORITY,guides/driveway-permits-and-regulations-in-tennessee/index.html,hero-new-concrete-garage-drive.webp,"new concrete driveway leading to a residential garage, concrete, residential frontage, new, bright midday, eye level","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",new concrete driveway leading to a residential garage,concrete,residential frontage,new,bright midday,eye level,New concrete driveway leading to a garage in bright midday sun,pending
https://drivewayzusa.co/guides/tar-and-chip-driveway-vs-asphalt-comparison/,tar-and-chip-driveway-vs-asphalt-comparison,A_REPLACE_PRIORITY,guides/tar-and-chip-driveway-vs-asphalt-comparison/index.html,hero-chip-seal-rural-approach.webp,"new chip-seal driveway with exposed aggregate along a rural approach, chip-seal, rural approach, new, golden hour, low angle along surface","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",new chip-seal driveway with exposed aggregate along a rural approach,chip-seal,rural approach,new,golden hour,low angle along surface,New chip-seal driveway with exposed aggregate in warm evening light,pending
https://drivewayzusa.co/guides/best-driveway-material-for-alabama-homes/,best-driveway-material-for-alabama-homes,A_REPLACE_PRIORITY,guides/best-driveway-material-for-alabama-homes/index.html,hero-herringbone-paver-frontage.webp,"herringbone paver driveway in front of a brick home, pavers, residential frontage, new, bright midday, elevated three-quarter","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",herringbone paver driveway in front of a brick home,pavers,residential frontage,new,bright midday,elevated three-quarter,Herringbone paver driveway in front of a brick home under midday sun,pending
https://drivewayzusa.co/guides/best-driveway-material-for-texas-homes/,best-driveway-material-for-texas-homes,A_REPLACE_PRIORITY,guides/best-driveway-material-for-texas-homes/index.html,hero-tire-worn-gravel-tracks.webp,"weathered gravel driveway with tire-worn tracks past open fields, gravel, rural approach, weathered, bright midday, eye level","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",weathered gravel driveway with tire-worn tracks past open fields,gravel,rural approach,weathered,bright midday,eye level,Gravel driveway with tire-worn tracks curving past open fields,pending
https://drivewayzusa.co/guides/percolation-test-for-driveway-drainage-planning/,percolation-test-for-driveway-drainage-planning,A_REPLACE_PRIORITY,guides/percolation-test-for-driveway-drainage-planning/index.html,hero-soil-percolation-test-hole.webp,"water-filled soil test hole beside a gravel driveway edge, none, work-in-progress, mid-repair, overcast, low angle along surface","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",water-filled soil test hole beside a gravel driveway edge,none,work-in-progress,mid-repair,overcast,low angle along surface,Water-filled soil test hole beside a gravel driveway edge,pending
https://drivewayzusa.co/guides/best-driveway-material-for-wisconsin-homes/,best-driveway-material-for-wisconsin-homes,A_REPLACE_PRIORITY,guides/best-driveway-material-for-wisconsin-homes/index.html,hero-sealed-concrete-after-rain.webp,"sealed concrete driveway glistening with rain outside a garage, concrete, residential frontage, sealed, wet after rain, elevated three-quarter","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",sealed concrete driveway glistening with rain outside a garage,concrete,residential frontage,sealed,wet after rain,elevated three-quarter,Sealed concrete driveway glistening with rain outside a garage,pending
https://drivewayzusa.co/guides/best-driveway-material-for-missouri-homes/,best-driveway-material-for-missouri-homes,A_REPLACE_PRIORITY,guides/best-driveway-material-for-missouri-homes/index.html,hero-new-asphalt-golden-hour.webp,"smooth new asphalt driveway in warm evening light, asphalt, residential frontage, new, golden hour, eye level","people, faces, vehicle badges, brand logos, text, watermarks, signage, house numbers",smooth new asphalt driveway in warm evening light,asphalt,residential frontage,new,golden hour,eye level,Smooth new asphalt driveway glowing in warm evening light,pending
