timestamp,slug,html_path,status,elapsed_ms,old_src,new_src,old_alt,new_alt,jsonld_shape,jsonld_old,jsonld_new,css_updated,css_old,css_new,notes
2026-07-29T22:55:47.817537,best-asphalt-driveway-sealer-top-products-for-2026,guides/best-asphalt-driveway-sealer-top-products-for-2026/index.html,already_swapped,0,/images/heroes/hero-freshly-sealed-asphalt-sheen.webp,/images/heroes/hero-freshly-sealed-asphalt-sheen.webp,,,,,,,,,
2026-07-29T22:55:47.817982,heated-driveway-systems-cost-vs-benefit-analysis,guides/heated-driveway-systems-cost-vs-benefit-analysis/index.html,already_swapped,0,/images/heroes/hero-concrete-strip-melting-snow.webp,/images/heroes/hero-concrete-strip-melting-snow.webp,,,,,,,,,
2026-07-29T22:55:47.818231,asphalt-rejuvenator-products-review,guides/asphalt-rejuvenator-products-review/index.html,already_swapped,0,/images/heroes/hero-faded-gray-asphalt-closeup.webp,/images/heroes/hero-faded-gray-asphalt-closeup.webp,,,,,,,,,
2026-07-29T22:55:47.818489,driveway-permits-and-regulations-in-tennessee,guides/driveway-permits-and-regulations-in-tennessee/index.html,already_swapped,0,/images/heroes/hero-new-concrete-garage-drive.webp,/images/heroes/hero-new-concrete-garage-drive.webp,,,,,,,,,
2026-07-29T22:55:47.818734,tar-and-chip-driveway-vs-asphalt-comparison,guides/tar-and-chip-driveway-vs-asphalt-comparison/index.html,already_swapped,0,/images/heroes/hero-chip-seal-rural-approach.webp,/images/heroes/hero-chip-seal-rural-approach.webp,,,,,,,,,
2026-07-29T22:55:47.818961,best-driveway-material-for-alabama-homes,guides/best-driveway-material-for-alabama-homes/index.html,already_swapped,0,/images/heroes/hero-herringbone-paver-frontage.webp,/images/heroes/hero-herringbone-paver-frontage.webp,,,,,,,,,
2026-07-29T22:55:47.819212,best-driveway-material-for-texas-homes,guides/best-driveway-material-for-texas-homes/index.html,already_swapped,0,/images/heroes/hero-tire-worn-gravel-tracks.webp,/images/heroes/hero-tire-worn-gravel-tracks.webp,,,,,,,,,
2026-07-29T22:55:47.819429,percolation-test-for-driveway-drainage-planning,guides/percolation-test-for-driveway-drainage-planning/index.html,already_swapped,0,/images/heroes/hero-soil-percolation-test-hole.webp,/images/heroes/hero-soil-percolation-test-hole.webp,,,,,,,,,
2026-07-29T22:55:47.819656,best-driveway-material-for-wisconsin-homes,guides/best-driveway-material-for-wisconsin-homes/index.html,already_swapped,0,/images/heroes/hero-sealed-concrete-after-rain.webp,/images/heroes/hero-sealed-concrete-after-rain.webp,,,,,,,,,
2026-07-29T22:55:47.819929,best-driveway-material-for-missouri-homes,guides/best-driveway-material-for-missouri-homes/index.html,already_swapped,0,/images/heroes/hero-new-asphalt-golden-hour.webp,/images/heroes/hero-new-asphalt-golden-hour.webp,,,,,,,,,
2026-07-29T22:55:47.820919,how-to-get-accurate-driveway-quotes-from-contractors,guides/how-to-get-accurate-driveway-quotes-from-contractors/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-fresh-concrete-repair-patch.webp,How to Get Accurate Driveway Quotes from Contractors — Drivewayz USA,Fresh concrete repair patch meeting an older driveway slab,string,https://drivewayzusa.co/images/hero-how-to-get-accurate-driveway-quotes-from-contractors.webp,https://drivewayzusa.co/images/heroes/hero-fresh-concrete-repair-patch.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-fresh-concrete-repair-patch.webp,
2026-07-29T22:55:47.821610,best-driveway-material-for-kentucky-homes,guides/best-driveway-material-for-kentucky-homes/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-weathered-cobblestone-moss-joints.webp,Best Driveway Material for Kentucky Homes — Drivewayz USA,Weathered cobblestone driveway with moss-filled joints under gray skies,string,https://drivewayzusa.co/images/hero-best-driveway-material-for-kentucky-homes.webp,https://drivewayzusa.co/images/heroes/hero-weathered-cobblestone-moss-joints.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-weathered-cobblestone-moss-joints.webp,
2026-07-29T22:55:47.822138,concrete-vs-asphalt-driveway-the-ultimate-2026-comparison,guides/concrete-vs-asphalt-driveway-the-ultimate-2026-comparison/index.html,swapped,0,/images/pexels-goodcitizen-1315919.webp,/images/heroes/hero-concrete-meets-asphalt-curb.webp,Concrete vs Asphalt Driveway: The Ultimate 2026 Comparison — Drivewayz USA,Light concrete driveway meeting a dark asphalt street at the curb,string,https://drivewayzusa.co/images/hero-concrete-vs-asphalt-driveway-the-ultimate-2026-comparison.webp,https://drivewayzusa.co/images/heroes/hero-concrete-meets-asphalt-curb.webp,true,/images/pexels-goodcitizen-1315919.webp,/images/heroes/hero-concrete-meets-asphalt-curb.webp,
2026-07-29T22:55:47.822676,driveway-contractor-email-marketing-staying-in-touch,guides/driveway-contractor-email-marketing-staying-in-touch/index.html,swapped,0,/images/pexels-curtis-adams-1694007-3990589.webp,/images/heroes/hero-sealed-paver-border-drive.webp,Driveway Contractor Email Marketing: Staying in Touch — Drivewayz USA,Sealed paver driveway with a contrasting border in warm light,string,https://drivewayzusa.co/images/hero-driveway-contractor-email-marketing-staying-in-touch.webp,https://drivewayzusa.co/images/heroes/hero-sealed-paver-border-drive.webp,true,/images/pexels-curtis-adams-1694007-3990589.webp,/images/heroes/hero-sealed-paver-border-drive.webp,
2026-07-29T22:55:47.823018,best-driveway-material-for-florida-homes,guides/best-driveway-material-for-florida-homes/index.html,swapped,0,/images/pexels-pixabay-221540.webp,/images/heroes/hero-broomed-concrete-expansion-joints.webp,Best Driveway Material for Florida Homes — Drivewayz USA,Broom-finished concrete driveway with clean expansion joints in bright sun,string,https://drivewayzusa.co/images/hero-best-driveway-material-for-florida-homes.webp,https://drivewayzusa.co/images/heroes/hero-broomed-concrete-expansion-joints.webp,true,/images/pexels-pixabay-221540.webp,/images/heroes/hero-broomed-concrete-expansion-joints.webp,
2026-07-29T22:55:47.823444,driveway-permits-and-regulations-in-idaho,guides/driveway-permits-and-regulations-in-idaho/index.html,swapped,0,/images/pexels-curtis-adams-1694007-3990589.webp,/images/heroes/hero-long-gravel-fence-line.webp,Driveway Permits and Regulations in Idaho — Drivewayz USA,Long gravel driveway running beside fence lines under gray skies,string,https://drivewayzusa.co/images/hero-driveway-permits-and-regulations-in-idaho.webp,https://drivewayzusa.co/images/heroes/hero-long-gravel-fence-line.webp,true,/images/pexels-curtis-adams-1694007-3990589.webp,/images/heroes/hero-long-gravel-fence-line.webp,
