timestamp,slug,working_filename,pile,status,attempts,elapsed_s,cost_usd,size_kb,error
2026-07-29T18:10:59.830620,best-asphalt-driveway-sealer-top-products-for-2026,hero-freshly-sealed-asphalt-sheen.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,182.5,
2026-07-29T18:19:51.475394,heated-driveway-systems-cost-vs-benefit-analysis,hero-concrete-strip-melting-snow.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,102.1,
2026-07-29T18:19:55.392411,asphalt-rejuvenator-products-review,hero-faded-gray-asphalt-closeup.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,526.0,
2026-07-29T18:19:58.504975,driveway-permits-and-regulations-in-tennessee,hero-new-concrete-garage-drive.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,351.6,
2026-07-29T18:20:02.226449,tar-and-chip-driveway-vs-asphalt-comparison,hero-chip-seal-rural-approach.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,169.9,
2026-07-29T18:20:05.957712,best-driveway-material-for-alabama-homes,hero-herringbone-paver-frontage.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,366.4,
2026-07-29T18:20:09.275590,best-driveway-material-for-texas-homes,hero-tire-worn-gravel-tracks.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,441.1,
2026-07-29T18:20:12.888465,percolation-test-for-driveway-drainage-planning,hero-soil-percolation-test-hole.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,277.3,
2026-07-29T18:30:07.115442,best-driveway-material-for-wisconsin-homes,hero-sealed-concrete-after-rain.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,204.6,
2026-07-29T18:30:11.719316,best-driveway-material-for-missouri-homes,hero-new-asphalt-golden-hour.webp,A_REPLACE_PRIORITY,rendered,1,0,0.04,223.1,
