timestamp,slug,status,img_inserted,jsonld_updated,css_updated,meta_added,notes
2026-07-30T00:08:14.016509,driveway-base-subgrade,updated,true,true,false,true,img→hero-graded-base-with-lumber-forms.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.018324,driveway-sealing,updated,true,true,false,true,img→hero-freshly-sealed-asphalt-sheen.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.019919,cobblestone-driveway,updated,true,true,false,true,img→hero-tidy-paver-drive-sunset-glow.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.020920,concrete-repair,updated,true,true,true,true,img→hero-fresh-overlay-edge-aged-slab.webp; jsonld=string; css:hero-concrete-repair.webp→hero-fresh-overlay-edge-aged-slab.webp; meta_added
2026-07-30T00:08:14.022102,concrete-vs-asphalt-vs-gravel,updated,true,true,false,true,img→hero-concrete-slab-meets-gravel-verge.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.023230,curing-concrete-driveway,updated,true,true,false,true,img→hero-squared-new-slab-bright-lawn.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.024242,driveway-excavation-grading,updated,true,true,false,true,img→hero-graded-base-with-lumber-forms.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.025035,driveway-reinforcement,updated,true,true,false,true,img→hero-graded-base-with-lumber-forms.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.025814,driveway-slope-drainage,updated,true,true,false,true,img→hero-rain-sheeting-sealed-drive-drain.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.026574,driveway-thickness-guide,updated,true,true,false,true,img→hero-fresh-overlay-edge-aged-slab.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.027488,driveway-weight-limits,updated,true,true,false,true,img→hero-fresh-asphalt-mat-compaction.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.028686,expansion-control-joints,updated,true,true,false,true,img→hero-brushed-concrete-joint-closeup.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.029802,how-long-driveway-last,updated,true,true,false,true,img→hero-thin-crack-network-aged-asphalt.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.031183,oyster-shell-driveway,updated,true,true,false,true,img→hero-shell-gravel-sandy-verge.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.032403,permeable-vs-traditional,updated,true,true,false,true,img→hero-permeable-pavers-green-joint-lines.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.033464,recycled-glass-driveway,updated,true,true,false,true,img→hero-crushed-granite-country-drive.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.034512,resurfacing-vs-replacement,updated,true,true,false,true,img→hero-fresh-overlay-edge-aged-slab.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.035596,standard-driveway-dimensions,updated,true,true,false,true,img→hero-squared-new-slab-bright-lawn.webp; jsonld=string; inline_css_url_not_found; meta_added
2026-07-30T00:08:14.036767,when-can-you-drive,updated,true,true,false,true,img→hero-freshly-sealed-asphalt-sheen.webp; jsonld=string; inline_css_url_not_found; meta_added
